artist,song,duration_ms,year,popularity,danceability,energy,loudness,speechiness,acousticness,instrumentalness,liveness,valence,tempo,genre
Britney Spears,Oops!...I Did It Again,211160,2000,77,0.751,0.834,-5.444,0.0437,0.3,1.77e-05,0.355,0.894,95.053,pop
blink-182,All The Small Things,167066,1999,79,0.434,0.897,-4.918,0.0488,0.0103,0.0,0.612,0.684,148.726,"rock, pop"
Faith Hill,Breathe,250546,1999,66,0.529,0.496,-9.007,0.029,0.173,0.0,0.251,0.278,136.859,"pop, country"
Bon Jovi,It's My Life,224493,2000,78,0.551,0.913,-4.063,0.0466,0.0263,1.35e-05,0.347,0.544,119.992,"rock, metal"
*NSYNC,Bye Bye Bye,200560,2000,65,0.614,0.928,-4.806,0.0516,0.0408,0.00104,0.0845,0.879,172.656,pop
Robbie Williams,Rock DJ,258560,2000,68,0.708,0.772,-4.264,0.0322,0.0267,0.0,0.467,0.861,103.035,"pop, rock"
Destiny's Child,Say My Name,271333,1999,75,0.713,0.678,-3.525,0.102,0.273,0.0,0.149,0.734,138.009,"pop, R&B"
Modjo,Lady - Hear Me Tonight,307153,2001,77,0.72,0.808,-5.627,0.0379,0.00793,0.0293,0.0634,0.869,126.041,Dance/Electronic
Gigi D'Agostino,L'Amour Toujours,238759,2011,1,0.617,0.728,-7.932,0.0292,0.0328,0.0482,0.36,0.808,139.066,pop
Eiffel 65,Move Your Body - Gabry Ponte Original Radio Edit,268863,1999,56,0.745,0.958,-9.664,0.0287,0.0813,0.324,0.533,0.96,129.962,pop
Bomfunk MC's,Freestyler,306333,2000,55,0.822,0.922,-5.798,0.0989,0.0291,0.325,0.252,0.568,163.826,pop
Sting,Desert Rose,285960,1999,62,0.586,0.659,-7.92,0.0304,0.011,0.0,0.106,0.147,111.989,"rock, pop"
Melanie C,Never Be The Same Again,294200,1999,61,0.689,0.685,-5.153,0.0478,0.0921,0.0,0.119,0.398,160.067,"pop, Dance/Electronic"
Aaliyah,Try Again,284000,2002,53,0.797,0.622,-5.642,0.29,0.0807,0.0,0.0841,0.731,93.02,"hip hop, pop, R&B"
Anastacia,I'm Outta Love - Radio Edit,245400,1999,64,0.761,0.716,-5.8,0.056,0.396,0.0,0.0771,0.649,119.41,pop
Alice Deejay,Better Off Alone,214883,2000,73,0.671,0.88,-6.149,0.0552,0.00181,0.691,0.285,0.782,136.953,pop
Gigi D'Agostino,The Riddle,285426,1999,64,0.74,0.876,-6.87,0.0369,0.0173,0.00152,0.0785,0.825,127.002,pop
Linkin Park,In the End,216880,2000,83,0.556,0.864,-5.87,0.0584,0.00958,0.0,0.209,0.4,105.143,"rock, metal"
Tom Jones,Sexbomb,211893,1999,65,0.801,0.876,-3.94,0.0446,0.144,1.38e-05,0.104,0.932,122.979,"rock, Folk/Acoustic, easy listening"
Sonique,It Feels So Good,240866,2000,62,0.634,0.677,-7.278,0.0304,0.0117,0.00103,0.126,0.558,135.012,pop
Melanie C,I Turn To You,352173,1999,54,0.522,0.803,-5.825,0.0327,0.00117,0.00167,0.31,0.0783,135.205,"pop, Dance/Electronic"
Limp Bizkit,Take A Look Around,321040,2000,72,0.425,0.852,-5.607,0.046,0.0175,0.306,0.0935,0.512,101.968,metal
Darude,Sandstorm,225493,2001,69,0.528,0.965,-7.984,0.0465,0.141,0.985,0.0797,0.587,136.065,"pop, Dance/Electronic"
Moloko,The Time Is Now,318280,2000,54,0.682,0.743,-10.644,0.165,0.35,0.000129,0.277,0.546,127.962,"pop, Dance/Electronic"
Chicane,Don't Give Up,210786,2016,47,0.644,0.72,-9.635,0.0419,0.00145,0.504,0.0839,0.53,132.017,Dance/Electronic
Debelah Morgan,Dance with Me,220106,2000,49,0.85,0.674,-7.981,0.0373,0.309,0.000645,0.0356,0.74,115.005,"pop, R&B"
Madonna,Music,225973,2000,58,0.736,0.802,-8.527,0.0663,0.00149,0.0876,0.14,0.871,119.854,pop
Ruff Endz,No More,242560,2000,52,0.839,0.641,-5.669,0.0858,0.0324,4.56e-06,0.0602,0.927,97.004,R&B
Britney Spears,Born to Make You Happy,243533,1999,58,0.633,0.922,-4.842,0.0454,0.116,0.000465,0.071,0.686,84.11,pop
Montell Jordan,Get It On Tonite,276266,1999,59,0.813,0.491,-9.923,0.077,0.241,4.61e-05,0.0817,0.868,99.008,"hip hop, pop, R&B"
Kylie Minogue,Spinning Around,207866,2000,55,0.761,0.662,-7.645,0.0548,0.292,6.19e-05,0.0956,0.631,120.043,"pop, Dance/Electronic"
LeAnn Rimes,I Need You,229826,2001,61,0.478,0.736,-7.124,0.0367,0.02,9.58e-05,0.118,0.564,144.705,"pop, country"
Avant,Separated,255600,2000,55,0.798,0.48,-5.564,0.0276,0.247,0.0,0.237,0.643,108.241,"pop, R&B"
Enrique Iglesias,Be With You,219360,1999,54,0.683,0.866,-5.436,0.0329,0.0395,0.00161,0.0483,0.542,121.996,"pop, latin"
Toni Braxton,He Wasn't Man Enough,261933,2000,66,0.739,0.947,-1.916,0.0411,0.00916,3.14e-05,0.326,0.766,88.009,"pop, R&B"
Bow Wow,Bounce With Me (feat. Xscape) - Edited Album Version,175893,2000,36,0.852,0.75,-5.153,0.168,0.434,0.0,0.265,0.934,72.016,"hip hop, pop, R&B"
Backstreet Boys,Show Me the Meaning of Being Lonely,234960,1999,68,0.63,0.625,-5.088,0.0252,0.231,0.0,0.0765,0.683,167.998,pop
Samantha Mumba,Gotta Tell You,201946,2018,43,0.729,0.632,-8.75,0.0279,0.191,0.0,0.166,0.774,109.981,pop
Mýa,Case Of The Ex (Whatcha Gonna Do),236906,2000,59,0.772,0.688,-4.715,0.0405,0.0548,9.79e-05,0.0725,0.348,98.0,"pop, R&B"
Mary Mary,Shackles (Praise You),198346,2000,64,0.779,0.834,-2.773,0.162,0.0343,0.0,0.0886,0.8,100.46,R&B
Next,Wifey,243666,2004,52,0.829,0.652,-8.693,0.108,0.067,0.0,0.0812,0.726,99.581,"hip hop, pop, R&B"
Janet Jackson,Doesn't Really Matter,265026,2001,47,0.771,0.796,-3.081,0.076,0.0993,0.00278,0.0981,0.801,99.316,"pop, R&B"
Ricky Martin,She Bangs - English Version,280626,2000,60,0.63,0.95,-4.012,0.0806,0.000915,6.51e-06,0.373,0.858,143.866,"pop, latin"
Jagged Edge,He Can't Love U,244053,2000,55,0.721,0.836,-3.972,0.206,0.112,0.0,0.235,0.508,126.279,"hip hop, pop, R&B"
Mariah Carey,Thank God I Found You (feat. Joe & 98°),257360,1999,59,0.348,0.532,-5.882,0.0331,0.592,0.0,0.106,0.148,129.297,"pop, R&B"
Baha Men,Who Let The Dogs Out,198400,2000,65,0.869,0.887,-4.505,0.0993,0.0605,0.0,0.148,0.784,129.221,R&B
LeAnn Rimes,Can't Fight The Moonlight,215506,2001,65,0.628,0.834,-6.341,0.0497,0.403,0.0,0.051,0.626,97.865,"pop, country"
Oasis,Go Let It Out,278666,2000,0,0.408,0.849,-5.631,0.0333,0.0136,2.51e-05,0.56,0.628,84.192,"Folk/Acoustic, rock"
DJ Ötzi,Hey Baby (Radio Mix),219240,2010,58,0.666,0.968,-3.196,0.046,0.123,0.0,0.347,0.834,135.099,"pop, easy listening, Dance/Electronic"
P!nk,Most Girls,298960,2000,52,0.742,0.732,-6.046,0.0311,0.0424,0.00446,0.101,0.694,97.922,pop
Mariah Carey,Against All Odds (Take A Look at Me Now) (feat. Westlife),199480,2011,0,0.471,0.514,-5.599,0.0315,0.584,0.0,0.103,0.373,117.338,"pop, R&B"
Craig David,Fill Me In,257200,2000,60,0.682,0.744,-6.981,0.0365,0.376,0.00951,0.06,0.827,132.493,"hip hop, pop, R&B"
Christina Aguilera,I Turn to You,273706,1999,61,0.599,0.47,-8.356,0.0376,0.38,0.0,0.111,0.298,127.177,pop
Madonna,American Pie,273533,2000,58,0.631,0.734,-7.48,0.036,0.348,0.0,0.135,0.591,124.036,pop
Red Hot Chili Peppers,Otherside,255373,1999,78,0.458,0.795,-3.265,0.0574,0.00316,0.000202,0.0756,0.513,123.229,rock
Sammie,I Like It,251040,2000,55,0.826,0.656,-8.529,0.0617,0.0101,0.000113,0.0272,0.852,129.963,"hip hop, pop, R&B"
Craig David,7 Days,235133,2000,70,0.659,0.812,-7.499,0.0487,0.23,0.0,0.0951,0.888,83.014,"hip hop, pop, R&B"
Santana,Maria Maria (feat. The Product G&B),261973,1999,66,0.777,0.601,-5.931,0.126,0.0406,0.00201,0.0348,0.68,97.911,"rock, blues, latin"
Kandi,Don't Think I'm Not,243533,2000,55,0.859,0.622,-8.196,0.0445,0.0661,0.0,0.0394,0.433,134.007,"pop, R&B"
P!nk,There You Go,202800,2000,55,0.822,0.847,-6.729,0.0917,0.0854,0.0,0.0452,0.668,107.908,pop
Vengaboys,Shalala Lala,214819,2000,58,0.751,0.901,-5.802,0.0328,0.0504,0.00308,0.0395,0.973,124.017,pop
Ronan Keating,Life Is A Rollercoaster,234826,2000,59,0.655,0.791,-8.923,0.0302,0.1,0.000124,0.334,0.862,118.981,"pop, rock"
Madison Avenue,Don't Call Me Baby,228140,1999,56,0.808,0.982,-6.588,0.0311,0.0585,0.00689,0.35,0.961,124.999,Dance/Electronic
Destiny's Child,"Jumpin', Jumpin'",230200,1999,70,0.771,0.685,-4.639,0.0567,0.00543,0.00157,0.0537,0.683,88.997,"pop, R&B"
Céline Dion,That's the Way It Is,241373,1999,64,0.634,0.886,-5.424,0.0434,0.154,0.0,0.118,0.577,93.04,pop
3 Doors Down,Kryptonite,233933,2000,78,0.545,0.865,-5.708,0.0286,0.00664,1.1e-05,0.168,0.543,99.009,"pop, rock, metal"
Carl Thomas,I Wish,226760,2000,52,0.736,0.666,-4.929,0.0337,0.0593,3.82e-05,0.107,0.224,89.824,"pop, R&B"
Fuel,Hemorrhage (In My Hands),236866,2000,49,0.313,0.831,-3.894,0.0404,0.000127,0.000341,0.24,0.332,152.034,"rock, pop, metal"
Donell Jones,Where I Wanna Be,253626,1999,57,0.664,0.396,-9.131,0.0298,0.52,0.0,0.268,0.453,102.053,"pop, R&B"
Savage Garden,Crash and Burn,281466,1999,54,0.581,0.607,-8.458,0.028,0.189,1.6e-06,0.0882,0.213,102.03,pop
Westlife,My Love,231760,2000,68,0.491,0.593,-5.975,0.0255,0.098,0.0,0.257,0.328,144.142,pop
All Saints,Pure Shores,268746,2000,62,0.631,0.664,-9.197,0.0242,0.0498,0.00042,0.0696,0.407,100.618,pop
Destiny's Child,"Independent Women, Pt. 1",221133,2001,65,0.73,0.602,-3.782,0.206,0.362,3.69e-06,0.169,0.927,97.954,"pop, R&B"
*NSYNC,It's Gonna Be Me,191040,2000,60,0.644,0.874,-4.666,0.0801,0.0459,2.24e-06,0.0584,0.882,165.09,pop
Erykah Badu,Bag Lady,348893,2000,54,0.724,0.416,-8.964,0.0841,0.365,0.0,0.0969,0.578,151.181,"hip hop, R&B"
Marc Anthony,You Sang To Me,347106,1999,56,0.578,0.894,-5.42,0.0296,0.0103,2.66e-06,0.216,0.741,165.98,"pop, latin"
Matchbox Twenty,Bent,256133,2000,54,0.518,0.83,-6.814,0.0386,0.0404,3.85e-06,0.375,0.527,95.468,"pop, rock"
Gabrielle,Rise,219093,2001,60,0.558,0.481,-9.487,0.026,0.315,8.83e-06,0.09,0.631,144.673,"pop, R&B"
Backstreet Boys,Shape of My Heart,230093,2000,70,0.575,0.786,-4.353,0.0296,0.252,0.0,0.159,0.518,96.102,pop
Creed,With Arms Wide Open,274800,1999,64,0.41,0.539,-8.412,0.0302,0.00425,0.00089,0.117,0.141,138.852,"pop, rock, metal"
The Corrs,Breathless,207506,2000,68,0.607,0.82,-7.754,0.0597,0.0541,6.8e-05,0.269,0.768,126.988,"pop, Folk/Acoustic"
Joe,I Wanna Know,296693,2000,65,0.725,0.487,-5.959,0.0368,0.26,1.09e-05,0.431,0.599,136.086,"pop, R&B"
Christina Aguilera,Come on over Baby (All I Want Is You) - Radio Version,203333,1999,64,0.829,0.915,-3.205,0.106,0.226,1.25e-05,0.246,0.779,118.903,pop
Creed,Higher,316733,1999,69,0.459,0.83,-6.254,0.0364,5.15e-05,0.00014,0.206,0.431,155.827,"pop, rock, metal"
